http://www.thehindu.com/todays-paper/tp-national/worker-electrocuted-while-repairing-line/article17415082.ece,"A labourer was electrocuted and another sustained injuries allegedly due to sudden restoration of current while they were repairing a power supply line at Budshah Bridge here.    Mushtaq Ahmad died on the spot while another was injured after suffering electric shock,    a police official said.The body of Mushtaq was hanging from the pole for nearly two hours before Fire brigade personnel removed it.PTI",national,Jammu and kashmir,Others
http://www.thehindu.com/todays-paper/tp-national/two-killed-12-injured-in-bustruck-collision/article17415081.ece,"Two passengers were killed and over a dozen injured when a roadways bus was hit by a truck in Singramaur area here early on Sunday morning. Mithilesh Pandey and Manager Rai died on the spot, while the injured have been rushed to a hospital.PTI",national,Uttar Pradesh,Others
http://www.thehindu.com/todays-paper/tp-national/dogs-found-biting-body-of-infant/article17415077.ece,"Stray dogs were on Sunday found biting the abandoned body of a newborn girl near a brook in Safidon area in Jind, Haryana, police said. The body was spotted by local people who informed the police station, they said, adding it is suspected the baby was abandoned as the parents who wanted a boy child. The body has been sent for post mortem.    The newborn was abandoned soon after delivery,    Medical Officer Dr. Sandip Lamba said.PTI",national,Haryana,Others
http://www.thehindu.com/todays-paper/tp-national/benamild-jain/article17414741.ece,"Benami    assets of Delhi Health Minister attachedThe Income Tax department has provisionally attached    benami assets    allegedly linked to Delhi Health Minister Satyender Jain in a case of illegal routing of undisclosed funds of over Rs. 13 crore, a charge strongly denied by him.PTI",national,Delhi,Others
http://www.thehindu.com/todays-paper/tp-national/ecdisqualification/article17414742.ece,"EC wants defaulters barred from electionsThe Election Commission wants laws to be changed so that it can bar those candidates who do not clear their water and power bills from contesting the Lok Sabha and Assembly elections. It has asked the Law Ministry to amend the Representation of the People Act, 1951, to that effect. PTI",national,Delhi, Politics
http://www.thehindu.com/todays-paper/tp-national/arson/article17414719.ece,"A police jeep which was set on fire allegedly by a mob on the Barhara police station campus in Ara district, Bihar, on Sunday.PTIPTIA 45-year-old man has died under mysterious circumstances in police custody sparking off a protest by locals who partially torched the Barhara police station premises which falls in Bhojpur district.Ram Sajjan Satva, a resident of Barhara village, died on Saturday after he was allegedly beaten up by policemen following which a crowd gathered outside the police station and pelted stones, injuring several police personnel, District Magistrate Birendra Prasad Yadav said.   The protesters also entered the police station and torched a portion of it,    Mr. Yadav said.Several vehicles parked outside the police station, furniture and some documents were set afire by the angry mob, the DM said, adding fire tenders were pressed into service to bring the situation under control.SDO Navdeep Shukla and SDPO Sanjay Kumar along with a team have gone to the village to control the situation, he said.Meanwhile, a medical report has said that Satva died of severe head injuries.The police had on Saturday picked up Satva after his daughter lodged a complaint that he used to come home drunk and tried to abuse her.Satva   s kins have alleged that he was killed in police custody. However, the police have claimed that the victim died after he jumped off the vehicle when he was taken to a government hospital for medical examination.An investigation into the matter has been launched, the DM said.",national, Bihar, Others
http://www.thehindu.com/todays-paper/tp-national/pollupmulayam-rpt/article17414743.ece,"PM lied to people to form govt.: MulayamCalling Prime Minister Narendra Modi as someone    who lied to the people to form a government   , Samajwadi Party patron Mulayam Singh on Sunday urged people to    beware of him   . Only the SP can ensure development, he added.PTI",national,Delhi, Politics
http://www.thehindu.com/todays-paper/tp-national/parrikar/article17414744.ece,"Bagdogra airport to function round the clockDefence Minister Manohar Parrikar on Sunday said the Bagdogra airport near Siliguri would function round the clock soon. Now, there are no night landings .PTI",national, West Bengal, Others
http://www.thehindu.com/todays-paper/tp-national/panther/article17414721.ece,"Panther capturedin RajasthanA panther was captured by the forest department in Kunthwa village of Rajsamand district on Sunday, following complaints regarding attacks by a big cat on local villagers and their cattle in the last few days. A female panther aged around four years was trapped in a cage kept by the forest officials. The cage was kept on the basis of pug marks and information provided by the villagers, said Kapil Chadrawal, Deputy Conservator of Forest.pti",national, Rajasthan,Environment
http://www.thehindu.com/todays-paper/tp-national/policeman-dies-in-road-accident-in-shopian/article17415449.ece,"A police officer died while four other cops sustained injuries on Sunday in a road accident in Shopian in south Kashmir.The police vehicle carrying them skid off the road, resulting in injuries to five policemen including an assistant sub-inspector, a police spokesman said.He said the injured were rushed to a hospital but the ASI succumbed to injuries on the way. - PTI",national, Jammu and Kashmir,Others
